Order_ID,Customer_ID,Sales_Date,Sales_Amount,Product_Category
ORD00143,C0291,2024-07-03,63591,Furniture
ORD00144,C0460,2025-05-10,29357,Furniture
ORD00145,C0011,2025-06-25,55712,Electronics
ORD00146,C0455,2024-07-30,29644,Office Supplies
ORD00147,C0305,2025-10-25,46408,Electronics
ORD00148,C0201,2025-02-04,54005,Office Supplies
ORD00149,C0253,2025-03-14,2125,Office Supplies
ORD00150,C0175,2024-12-28,3595,Office Supplies
ORD00151,C0331,2024-01-28,5838,Furniture
ORD00152,C0426,2024-02-19,7991,Office Supplies
ORD00153,C0112,2024-02-14,55537,Office Supplies
ORD00154,C0319,2024-07-10,48278,Electronics
ORD00155,C0355,2025-12-27,78403,Office Supplies
ORD00156,C0425,2024-02-06,47069,Furniture
ORD00157,C0457,2025-03-17,39665,Furniture
ORD00158,C0410,2024-03-20,77682,Office Supplies
ORD00159,C0384,2024-10-21,9851,Electronics
ORD00160,C0134,2024-08-04,55759,Electronics
ORD00161,C0201,2024-02-19,49732,Electronics
ORD00162,C0358,2024-07-03,79148,Office Supplies
ORD00163,C0385,2025-08-21,6545,Furniture
ORD00164,C0205,2024-04-04,77187,Electronics
ORD00165,C0391,2025-10-07,67159,Electronics
ORD00166,C0380,2024-11-13,71333,Electronics
ORD00167,C0212,2025-05-20,69403,Furniture
ORD00168,C0313,2024-01-15,32065,Electronics
ORD00169,C0429,2024-04-05,59971,Furniture
ORD00170,C0143,2025-07-31,13265,Electronics
ORD00171,C0393,2025-05-04,58075,Furniture
ORD00172,C0171,2025-01-15,4052,Office Supplies
ORD00173,C0342,2024-02-11,37579,Electronics
ORD00174,C0423,2025-05-20,45432,Office Supplies
ORD00175,C0446,2024-07-22,14790,Furniture
ORD00176,C0420,2025-04-01,47453,Office Supplies
ORD00177,C0482,2025-11-11,18337,Electronics
ORD00178,C0318,2024-11-25,7873,Office Supplies
ORD00179,C0276,2024-09-10,74262,Furniture
ORD00180,C0019,2024-07-21,77446,Electronics
ORD00181,C0110,2025-03-10,65972,Furniture
ORD00182,C0285,2025-03-15,58947,Furniture
ORD00183,C0452,2025-02-09,62863,Furniture
ORD00184,C0437,2024-07-27,43597,Electronics
ORD00185,C0455,2024-11-19,33549,Furniture
ORD00186,C0339,2025-12-16,65723,Furniture
ORD00187,C0104,2025-09-04,18908,Furniture
ORD00188,C0001,2025-06-14,14717,Electronics
ORD00189,C0030,2025-04-14,72524,Electronics
ORD00190,C0391,2024-01-27,28195,Furniture
ORD00191,C0277,2024-04-01,1279,Electronics
ORD00192,C0002,2024-09-12,19783,Electronics
ORD00193,C0258,2024-06-04,32369,Furniture
ORD00194,C0465,2024-04-09,54086,Electronics
ORD00195,C0306,2025-12-02,4222,Office Supplies
ORD00196,C0238,2024-12-21,65102,Office Supplies
ORD00197,C0267,2025-07-01,47340,Electronics
ORD00198,C0454,2025-02-14,53243,Electronics
ORD00199,C0289,2024-01-19,66363,Furniture
ORD00200,C0134,2024-11-15,35846,Office Supplies
ORD00201,C0025,2024-10-14,30279,Office Supplies
ORD00202,C0148,2025-11-18,53255,Office Supplies
ORD00203,C0039,2025-03-20,19521,Electronics
ORD00204,C0354,2024-06-21,62110,Office Supplies
ORD00205,C0431,2025-03-30,18332,Furniture
ORD00206,C0054,2024-01-20,45627,Furniture
ORD00207,C0400,2025-10-25,5928,Electronics
ORD00208,C0371,2025-01-25,3533,Office Supplies
ORD00209,C0435,2024-07-03,69579,Office Supplies
ORD00210,C0155,2025-02-26,47622,Office Supplies
ORD00211,C0170,2025-08-21,19627,Electronics
ORD00212,C0363,2025-06-27,78037,Furniture
ORD00213,C0197,2025-07-07,67472,Furniture
ORD00214,C0463,2024-09-13,76514,Electronics
ORD00215,C0436,2024-07-15,77675,Furniture
ORD00216,C0141,2024-12-26,25928,Office Supplies
ORD00217,C0494,2024-03-05,70761,Electronics
ORD00218,C0091,2024-08-26,71922,Furniture
ORD00219,C0285,2025-03-27,54820,Electronics
ORD00220,C0402,2025-10-16,40810,Furniture
ORD00221,C0131,2024-08-17,30437,Office Supplies
ORD00222,C0347,2025-03-27,31388,Furniture
ORD00223,C0395,2025-10-21,5849,Office Supplies
ORD00224,C0497,2024-03-04,68120,Furniture
ORD00225,C0225,2024-12-13,30192,Office Supplies
ORD00226,C0240,2025-09-09,41102,Furniture
ORD00227,C0201,2024-08-09,14721,Office Supplies
ORD00228,C0367,2024-08-11,34413,Electronics
ORD00229,C0364,2025-08-09,3102,Electronics
ORD00230,C0082,2024-10-19,78809,Electronics
ORD00231,C0329,2025-05-13,71414,Furniture
ORD00232,C0081,2024-07-26,39719,Furniture
ORD00233,C0371,2025-11-05,11278,Furniture
ORD00234,C0036,2024-06-12,15596,Furniture
ORD00235,C0252,2025-02-16,1593,Office Supplies
ORD00236,C0477,2025-09-15,54595,Electronics
ORD00237,C0046,2024-01-21,50557,Furniture
ORD00238,C0448,2024-11-20,67279,Office Supplies
ORD00239,C0229,2025-05-29,21980,Office Supplies
ORD00240,C0159,2024-05-12,49433,Furniture
ORD00241,C0185,2025-07-19,18143,Office Supplies
ORD00242,C0112,2025-07-24,44207,Furniture
ORD00243,C0360,2025-10-15,6440,Office Supplies
ORD00244,C0338,2024-11-03,39611,Office Supplies
ORD00245,C0173,2024-01-19,31482,Office Supplies
ORD00246,C0282,2025-02-12,26380,Office Supplies
ORD00247,C0453,2024-07-22,34260,Furniture
ORD00248,C0486,2025-02-03,79993,Electronics
ORD00249,C0268,2024-05-02,34749,Furniture
ORD00250,C0311,2025-06-27,52288,Electronics
ORD00251,C0071,2025-09-11,54009,Furniture
ORD00252,C0116,2024-07-06,73862,Office Supplies
ORD00253,C0457,2024-08-16,11056,Furniture
ORD00254,C0340,2024-07-25,3904,Furniture
ORD00255,C0009,2025-04-22,79764,Electronics
ORD00256,C0317,2024-02-13,39205,Office Supplies
ORD00257,C0270,2025-12-13,66036,Office Supplies
ORD00258,C0218,2024-01-24,10922,Furniture
ORD00259,C0032,2025-06-11,30608,Electronics
ORD00260,C0477,2024-10-10,42776,Electronics
ORD00261,C0092,2025-09-12,70181,Electronics
ORD00262,C0309,2025-10-23,33960,Furniture
ORD00263,C0140,2024-03-30,67578,Electronics
ORD00264,C0103,2025-05-23,74409,Office Supplies
ORD00265,C0056,2024-11-07,65415,Office Supplies
ORD00266,C0158,2024-05-28,46882,Electronics
ORD00267,C0235,2024-11-11,30146,Office Supplies
ORD00268,C0433,2024-05-16,7006,Electronics
ORD00269,C0305,2024-12-30,8807,Office Supplies
ORD00270,C0365,2024-02-26,59102,Office Supplies
ORD00271,C0220,2025-04-02,59518,Furniture
ORD00272,C0172,2024-01-01,5530,Furniture
ORD00273,C0098,2024-11-22,64460,Office Supplies
ORD00274,C0324,2025-01-27,8818,Office Supplies
ORD00275,C0113,2025-02-05,60289,Electronics
ORD00276,C0112,2025-02-02,9907,Furniture
ORD00277,C0093,2024-09-16,62834,Furniture
ORD00278,C0044,2024-12-30,13209,Furniture
ORD00279,C0377,2024-08-17,20638,Office Supplies
ORD00280,C0162,2025-03-23,55492,Office Supplies
ORD00281,C0033,2025-10-18,37077,Office Supplies
ORD00282,C0452,2025-12-08,21481,Office Supplies
ORD00283,C0136,2025-10-30,32729,Furniture
ORD00284,C0155,2025-07-12,45829,Electronics
ORD00285,C0228,2025-06-24,22228,Office Supplies
ORD00286,C0231,2025-11-28,48406,Office Supplies
ORD00287,C0254,2025-04-30,27603,Electronics
ORD00288,C0391,2025-01-31,9954,Furniture
ORD00289,C0446,2025-02-04,4864,Electronics
ORD00290,C0253,2025-11-16,34412,Electronics
ORD00291,C0305,2025-01-21,41183,Electronics
ORD00292,C0460,2024-03-02,9048,Office Supplies
ORD00293,C0302,2024-06-07,43913,Furniture
ORD00294,C0347,2025-06-07,27510,Office Supplies
ORD00295,C0169,2025-09-06,56918,Electronics
ORD00296,C0229,2025-06-16,33690,Office Supplies
ORD00297,C0414,2025-07-24,63110,Furniture
ORD00298,C0246,2025-01-26,44055,Furniture
ORD00299,C0001,2024-05-17,30414,Furniture
ORD00300,C0481,2025-04-27,16913,Furniture
ORD00301,C0177,2024-04-27,26331,Furniture
ORD00302,C0140,2025-11-05,1853,Electronics
ORD00303,C0273,2025-10-25,22414,Furniture
ORD00304,C0420,2024-12-30,57562,Furniture
ORD00305,C0093,2025-08-06,30196,Office Supplies
ORD00306,C0193,2025-05-05,48440,Furniture
ORD00307,C0092,2025-04-10,49474,Furniture
ORD00308,C0175,2025-11-21,34876,Electronics
ORD00309,C0120,2024-11-08,77565,Office Supplies
ORD00310,C0496,2025-06-06,76027,Electronics
ORD00311,C0310,2025-04-04,48349,Office Supplies
ORD00312,C0184,2024-12-03,32046,Furniture
ORD00313,C0337,2024-11-01,23218,Electronics
ORD00314,C0352,2024-02-20,76809,Furniture
ORD00315,C0225,2024-02-04,44475,Furniture
ORD00316,C0454,2024-09-23,65864,Furniture
ORD00317,C0184,2025-05-31,27330,Office Supplies
ORD00318,C0339,2025-12-25,2464,Electronics
ORD00319,C0484,2025-07-29,62407,Furniture
ORD00320,C0396,2025-12-08,22545,Furniture
ORD00321,C0032,2024-10-06,32456,Office Supplies
ORD00322,C0277,2024-12-05,20234,Office Supplies
ORD00323,C0231,2024-03-05,47292,Office Supplies
ORD00324,C0266,2024-08-26,36575,Office Supplies
ORD00325,C0498,2025-10-26,35932,Electronics
ORD00326,C0013,2024-05-14,77415,Office Supplies
ORD00327,C0353,2025-11-09,62099,Office Supplies
ORD00328,C0123,2025-07-16,42670,Furniture
ORD00329,C0139,2024-06-29,37739,Electronics
ORD00330,C0080,2025-09-22,35017,Office Supplies
ORD00331,C0392,2024-01-08,40523,Office Supplies
ORD00332,C0218,2025-06-11,69833,Furniture
ORD00333,C0360,2025-10-04,74134,Office Supplies
ORD00334,C0319,2024-02-17,71682,Office Supplies
ORD00335,C0232,2025-02-14,27130,Furniture
ORD00336,C0481,2025-11-03,23819,Furniture
ORD00337,C0085,2024-11-10,58566,Furniture
ORD00338,C0054,2024-04-24,47000,Furniture
ORD00339,C0282,2025-04-12,26366,Furniture
ORD00340,C0401,2025-07-03,12151,Furniture
ORD00341,C0456,2025-02-20,17068,Furniture
ORD00342,C0081,2024-03-07,65066,Electronics
ORD00343,C0194,2025-04-30,12246,Electronics
ORD00344,C0380,2025-06-24,65912,Electronics
ORD00345,C0033,2024-10-25,3628,Office Supplies
ORD00346,C0328,2024-08-08,10878,Office Supplies
ORD00347,C0354,2024-04-30,53140,Furniture
ORD00348,C0213,2024-05-03,56600,Electronics
ORD00349,C0160,2025-11-21,53050,Office Supplies
ORD00350,C0371,2025-07-12,69514,Office Supplies
ORD00351,C0296,2025-10-20,57568,Furniture
ORD00352,C0451,2025-02-06,23582,Office Supplies
ORD00353,C0039,2025-05-29,19168,Electronics
ORD00354,C0160,2025-04-20,75645,Office Supplies
ORD00355,C0323,2024-07-04,17509,Furniture
ORD00356,C0253,2025-02-18,73357,Furniture
ORD00357,C0226,2024-02-13,60748,Electronics
ORD00358,C0201,2025-03-29,13058,Office Supplies
ORD00359,C0138,2025-06-15,75813,Furniture
ORD00360,C0236,2025-09-16,19473,Furniture
ORD00361,C0234,2025-07-03,49575,Office Supplies
ORD00362,C0089,2024-07-15,42346,Electronics
ORD00363,C0306,2025-05-29,8230,Electronics
ORD00364,C0402,2025-09-27,25786,Furniture
ORD00365,C0389,2024-03-12,30190,Furniture
ORD00366,C0123,2024-09-14,45711,Furniture
ORD00367,C0066,2024-10-19,63695,Electronics
ORD00368,C0494,2024-03-08,46332,Furniture
ORD00369,C0266,2024-07-09,24688,Electronics
ORD00370,C0286,2024-04-25,75159,Furniture
ORD00371,C0044,2025-03-31,13068,Office Supplies
ORD00372,C0496,2024-01-02,60106,Electronics
ORD00373,C0223,2025-04-12,62886,Office Supplies
ORD00374,C0219,2025-11-14,26876,Electronics
ORD00375,C0108,2024-04-09,52274,Furniture
ORD00376,C0161,2024-09-06,73553,Electronics
ORD00377,C0099,2025-02-13,39795,Electronics
ORD00378,C0179,2024-11-26,2063,Electronics
ORD00379,C0493,2025-01-04,33089,Electronics
ORD00380,C0356,2024-06-28,12605,Electronics
ORD00381,C0052,2024-06-13,45210,Furniture
ORD00382,C0358,2025-02-17,60133,Furniture
ORD00383,C0394,2025-09-02,10045,Furniture
ORD00384,C0297,2025-08-25,47945,Office Supplies
ORD00385,C0391,2025-04-04,62764,Electronics
ORD00386,C0120,2024-04-07,63926,Electronics
ORD00387,C0185,2025-03-14,70842,Office Supplies
ORD00388,C0372,2024-05-08,49456,Office Supplies
ORD00389,C0101,2024-07-10,6388,Electronics
ORD00390,C0461,2024-09-29,29364,Furniture
ORD00391,C0157,2025-01-14,51902,Electronics
ORD00392,C0403,2025-02-09,62712,Office Supplies
ORD00393,C0262,2025-06-11,31205,Furniture
ORD00394,C0257,2025-03-19,31837,Furniture
ORD00395,C0324,2024-11-03,41881,Office Supplies
ORD00396,C0159,2025-08-16,67552,Electronics
ORD00397,C0016,2025-11-08,53927,Electronics
ORD00398,C0385,2024-05-15,55068,Furniture
ORD00399,C0390,2024-07-16,74995,Electronics
ORD00400,C0325,2024-01-28,50415,Office Supplies
ORD00401,C0402,2024-01-24,37012,Electronics
ORD00402,C0445,2025-08-17,39604,Electronics
ORD00403,C0316,2025-09-16,19368,Electronics
ORD00404,C0046,2025-09-20,23927,Furniture
ORD00405,C0229,2024-09-25,28849,Office Supplies
ORD00406,C0390,2025-10-07,45721,Electronics
ORD00407,C0221,2025-09-08,64349,Office Supplies
ORD00408,C0461,2024-06-22,8832,Office Supplies
ORD00409,C0297,2024-07-31,66881,Furniture
ORD00410,C0069,2024-05-01,13373,Electronics
ORD00411,C0477,2024-01-19,29250,Office Supplies
ORD00412,C0078,2025-08-29,67228,Electronics
ORD00413,C0301,2025-09-02,6365,Electronics
ORD00414,C0189,2024-01-03,49175,Office Supplies
ORD00415,C0179,2024-11-01,65234,Furniture
ORD00416,C0041,2025-03-21,74244,Electronics
ORD00417,C0371,2025-10-05,51888,Office Supplies
ORD00418,C0018,2024-08-31,5996,Furniture
ORD00419,C0373,2024-02-01,1803,Furniture
ORD00420,C0350,2025-12-14,36401,Furniture
ORD00421,C0267,2024-01-18,11386,Office Supplies
ORD00422,C0394,2024-07-24,16532,Furniture
ORD00423,C0109,2024-09-03,55563,Electronics
ORD00424,C0469,2025-01-01,65697,Furniture
ORD00425,C0101,2024-07-09,14416,Office Supplies
ORD00426,C0452,2024-04-20,16691,Furniture
ORD00427,C0137,2025-08-11,44564,Office Supplies
ORD00428,C0324,2025-11-02,18046,Office Supplies
ORD00429,C0042,2025-11-30,63125,Office Supplies
ORD00430,C0377,2024-04-20,79160,Furniture
ORD00431,C0432,2025-09-28,7185,Office Supplies
ORD00432,C0443,2024-03-09,31794,Furniture
ORD00433,C0150,2024-03-08,65239,Office Supplies
ORD00434,C0214,2024-11-20,75577,Electronics
ORD00435,C0010,2025-01-12,76228,Furniture
ORD00436,C0278,2025-10-11,27736,Furniture
ORD00437,C0013,2025-08-06,4577,Electronics
ORD00438,C0216,2025-06-16,2781,Electronics
ORD00439,C0388,2024-03-25,45607,Office Supplies
ORD00440,C0111,2025-03-02,3365,Office Supplies
ORD00441,C0198,2024-10-25,28552,Office Supplies
ORD00442,C0154,2025-01-07,26639,Office Supplies
ORD00443,C0137,2025-09-14,65605,Electronics
ORD00444,C0065,2024-03-01,1390,Office Supplies
ORD00445,C0212,2024-02-04,16274,Furniture
ORD00446,C0101,2024-12-08,27405,Office Supplies
ORD00447,C0499,2024-01-30,48030,Electronics
ORD00448,C0092,2024-12-18,57629,Office Supplies
ORD00449,C0089,2024-11-11,74477,Office Supplies
ORD00450,C0380,2025-07-29,71713,Electronics
ORD00451,C0443,2024-11-03,79110,Furniture
ORD00452,C0023,2024-09-28,54975,Furniture
ORD00453,C0283,2025-12-18,44314,Furniture
ORD00454,C0183,2024-04-09,54021,Office Supplies
ORD00455,C0375,2024-08-03,22362,Office Supplies
ORD00456,C0145,2024-02-02,44647,Office Supplies
ORD00457,C0458,2025-04-06,38906,Electronics
ORD00458,C0042,2025-10-17,75153,Electronics
ORD00459,C0190,2024-07-22,75292,Electronics
ORD00460,C0321,2024-01-02,31729,Office Supplies
ORD00461,C0330,2025-08-16,10646,Office Supplies
ORD00462,C0203,2025-02-13,66223,Furniture
ORD00463,C0352,2024-01-28,48221,Electronics
ORD00464,C0038,2025-06-03,44551,Office Supplies
ORD00465,C0259,2025-01-22,70552,Office Supplies
ORD00466,C0022,2024-09-24,25790,Office Supplies
ORD00467,C0134,2024-05-27,78321,Electronics
ORD00468,C0017,2025-06-11,70610,Office Supplies
ORD00469,C0074,2024-11-30,71756,Office Supplies
ORD00470,C0167,2025-05-10,68360,Electronics
ORD00471,C0312,2025-07-11,6909,Electronics
ORD00472,C0245,2024-01-25,29095,Furniture
ORD00473,C0242,2024-07-30,11819,Electronics
ORD00474,C0027,2025-01-12,73322,Office Supplies
ORD00475,C0210,2025-08-03,41090,Office Supplies
ORD00476,C0182,2024-07-29,9067,Furniture
ORD00477,C0130,2025-06-16,61129,Office Supplies
ORD00478,C0040,2024-07-12,34599,Electronics
ORD00479,C0371,2025-08-29,46753,Office Supplies
ORD00480,C0335,2024-04-30,36887,Electronics
ORD00481,C0164,2024-02-28,10423,Office Supplies
ORD00482,C0052,2024-09-05,51631,Electronics
ORD00483,C0254,2024-02-04,1308,Electronics
ORD00484,C0496,2024-10-09,68463,Furniture
ORD00485,C0156,2025-11-03,15307,Office Supplies
ORD00486,C0436,2024-05-18,26205,Office Supplies
ORD00487,C0129,2025-06-02,14570,Electronics
ORD00488,C0448,2025-08-19,38279,Office Supplies
ORD00489,C0167,2024-06-18,42723,Furniture
ORD00490,C0453,2024-09-11,75997,Furniture
ORD00491,C0075,2024-11-26,48335,Furniture
ORD00492,C0041,2024-10-05,36249,Electronics
ORD00493,C0480,2024-06-08,74922,Office Supplies
ORD00494,C0229,2024-03-03,9213,Electronics
ORD00495,C0314,2024-07-14,17934,Electronics
ORD00496,C0171,2024-05-29,78176,Furniture
ORD00497,C0056,2025-05-23,57533,Electronics
ORD00498,C0057,2024-04-08,41357,Office Supplies
ORD00499,C0497,2024-08-27,21650,Furniture
ORD00500,C0385,2025-12-21,5952,Office Supplies
ORD00501,C0208,2024-12-17,18763,Office Supplies
ORD00502,C0211,2024-03-19,18264,Electronics
ORD00503,C0199,2025-02-26,74869,Furniture
ORD00504,C0265,2024-03-31,8909,Electronics
ORD00505,C0040,2024-03-06,22587,Office Supplies
ORD00506,C0107,2024-08-12,4005,Electronics
ORD00507,C0215,2025-04-10,76982,Furniture
ORD00508,C0173,2025-01-12,52143,Office Supplies
ORD00509,C0238,2024-09-08,25478,Electronics
ORD00510,C0281,2025-10-24,26186,Furniture
ORD00511,C0259,2024-11-10,14033,Furniture
ORD00512,C0124,2024-11-10,37903,Furniture
ORD00513,C0457,2024-06-22,23965,Office Supplies
ORD00514,C0012,2025-05-13,35581,Office Supplies
ORD00515,C0309,2025-10-20,8311,Furniture
ORD00516,C0103,2025-06-08,75894,Office Supplies
ORD00517,C0007,2024-12-16,49131,Electronics
ORD00518,C0315,2024-10-03,22208,Office Supplies
ORD00519,C0329,2024-03-11,58146,Office Supplies
ORD00520,C0119,2025-02-10,20975,Furniture
ORD00521,C0488,2025-04-01,65465,Electronics
ORD00522,C0044,2024-01-27,66788,Furniture
ORD00523,C0095,2025-04-23,38576,Electronics
ORD00524,C0489,2024-02-21,49848,Office Supplies
ORD00525,C0041,2024-12-24,61367,Office Supplies
ORD00526,C0261,2024-03-27,49906,Furniture
ORD00527,C0173,2024-04-03,73326,Furniture
ORD00528,C0304,2024-12-31,49241,Electronics
ORD00529,C0319,2025-03-10,34552,Electronics
ORD00530,C0321,2024-11-21,19423,Electronics
ORD00531,C0050,2025-05-10,26984,Electronics
ORD00532,C0283,2024-11-08,19553,Furniture
ORD00533,C0398,2025-06-21,63854,Office Supplies
ORD00534,C0344,2024-06-24,75255,Office Supplies
ORD00535,C0031,2025-11-10,22247,Electronics
ORD00536,C0457,2024-06-07,10970,Office Supplies
ORD00537,C0476,2025-04-14,23588,Furniture
ORD00538,C0161,2024-04-18,32977,Office Supplies
ORD00539,C0135,2024-05-29,5292,Furniture
ORD00540,C0321,2024-12-09,65309,Office Supplies
ORD00541,C0386,2024-04-23,33011,Electronics
ORD00542,C0149,2025-01-06,50774,Electronics
