Payment_ID,Invoice_ID,Payment_Date,Amount_Paid,Payment_Method
PAY00130,INV00147,2025-03-19,36366,Cheque
PAY00131,INV00148,2026-03-03,41808,Bank Transfer
PAY00132,INV00149,2025-07-19,41315,Card
PAY00133,INV00150,2024-06-29,47605,Bank Transfer
PAY00134,INV00151,2024-05-29,13518,Cheque
PAY00135,INV00152,2026-02-19,19856,Card
PAY00136,INV00153,2024-09-24,32000,Bank Transfer
PAY00137,INV00154,2024-04-20,38127,Bank Transfer
PAY00138,INV00155,2025-07-03,47919,Cheque
PAY00139,INV00156,2024-12-05,30926,Bank Transfer
PAY00140,INV00157,2024-11-25,44852,Bank Transfer
PAY00141,INV00158,2024-03-07,9569,UPI
PAY00142,INV00160,2025-03-07,12484,Card
PAY00143,INV00162,2024-07-02,9184,Cheque
PAY00144,INV00164,2025-04-25,40563,Bank Transfer
PAY00145,INV00165,2026-02-25,9062,Bank Transfer
PAY00146,INV00166,2025-05-02,3512,UPI
PAY00147,INV00169,2025-09-09,46413,Cheque
PAY00148,INV00170,2025-02-22,44821,Bank Transfer
PAY00149,INV00173,2024-10-12,18729,Card
PAY00150,INV00174,2024-10-13,30587,Card
PAY00151,INV00175,2025-07-20,21213,Bank Transfer
PAY00152,INV00176,2025-03-14,2848,Bank Transfer
PAY00153,INV00177,2025-12-06,42281,Cheque
PAY00154,INV00178,2025-12-16,22838,Cheque
PAY00155,INV00180,2025-07-21,43568,Bank Transfer
PAY00156,INV00181,2025-12-25,643,UPI
PAY00157,INV00182,2025-07-23,46512,Card
PAY00158,INV00183,2025-03-17,17165,Bank Transfer
PAY00159,INV00185,2025-01-31,27662,Bank Transfer
PAY00160,INV00186,2025-06-02,43652,Cheque
PAY00161,INV00187,2025-07-09,35257,Card
PAY00162,INV00189,2024-09-01,38416,Bank Transfer
PAY00163,INV00191,2025-03-11,30608,Card
PAY00164,INV00195,2025-10-22,14743,UPI
PAY00165,INV00196,2025-02-23,6344,UPI
PAY00166,INV00197,2024-06-28,37349,Card
PAY00167,INV00199,2024-06-10,25460,Bank Transfer
PAY00168,INV00200,2024-10-19,19283,Bank Transfer
PAY00169,INV00201,2024-11-30,49887,Card
PAY00170,INV00202,2025-11-30,48963,Card
PAY00171,INV00203,2025-08-04,19350,Card
PAY00172,INV00204,2025-05-12,6974,Cheque
PAY00173,INV00205,2025-05-19,42035,UPI
PAY00174,INV00206,2025-10-31,48895,UPI
PAY00175,INV00207,2024-09-04,5380,Bank Transfer
PAY00176,INV00208,2024-03-15,18791,Cheque
PAY00177,INV00209,2024-10-07,22163,Bank Transfer
PAY00178,INV00211,2025-12-22,20236,UPI
PAY00179,INV00212,2026-01-30,34932,Bank Transfer
PAY00180,INV00213,2025-07-06,27758,Bank Transfer
PAY00181,INV00214,2024-09-16,43972,UPI
PAY00182,INV00215,2025-12-30,25113,Bank Transfer
PAY00183,INV00216,2026-01-20,29707,Cheque
PAY00184,INV00217,2024-04-12,21532,Card
PAY00185,INV00218,2025-10-03,19035,UPI
PAY00186,INV00219,2025-08-09,32403,Cheque
PAY00187,INV00220,2025-07-24,6788,Bank Transfer
PAY00188,INV00221,2024-03-31,44431,Card
PAY00189,INV00223,2025-05-24,5226,Bank Transfer
PAY00190,INV00224,2024-12-26,6235,UPI
PAY00191,INV00225,2024-06-04,8396,Card
PAY00192,INV00226,2025-01-02,26026,Bank Transfer
PAY00193,INV00227,2025-11-18,49386,Bank Transfer
PAY00194,INV00230,2025-03-01,43801,Cheque
PAY00195,INV00231,2025-05-13,7663,UPI
PAY00196,INV00232,2024-03-09,36877,Bank Transfer
PAY00197,INV00233,2025-10-02,35702,UPI
PAY00198,INV00234,2025-01-06,22333,Cheque
PAY00199,INV00235,2024-10-19,17063,Bank Transfer
PAY00200,INV00236,2025-08-28,42749,Bank Transfer
PAY00201,INV00237,2024-05-11,48052,UPI
PAY00202,INV00238,2026-02-20,15870,Bank Transfer
PAY00203,INV00239,2024-09-19,32341,UPI
PAY00204,INV00240,2025-09-20,37564,Card
PAY00205,INV00244,2025-05-02,20519,Cheque
PAY00206,INV00246,2025-08-24,17751,Bank Transfer
PAY00207,INV00247,2024-05-04,33738,Card
PAY00208,INV00248,2025-10-10,2902,Card
PAY00209,INV00249,2024-08-02,26222,UPI
PAY00210,INV00250,2025-07-07,33950,Bank Transfer
PAY00211,INV00251,2024-11-27,45337,Cheque
PAY00212,INV00252,2024-07-01,26167,Card
PAY00213,INV00254,2024-05-11,24711,Cheque
PAY00214,INV00255,2025-01-31,25928,UPI
PAY00215,INV00257,2024-12-14,36174,Card
PAY00216,INV00258,2025-11-11,5601,Cheque
PAY00217,INV00259,2025-04-15,23112,Bank Transfer
PAY00218,INV00260,2024-07-18,11353,UPI
PAY00219,INV00261,2024-07-27,10812,Bank Transfer
PAY00220,INV00262,2024-10-17,22141,Card
PAY00221,INV00263,2024-10-23,11067,Bank Transfer
PAY00222,INV00264,2024-03-03,38084,Bank Transfer
PAY00223,INV00265,2025-08-30,4164,Card
PAY00224,INV00267,2026-01-10,6119,Card
PAY00225,INV00269,2024-08-21,12419,UPI
PAY00226,INV00270,2026-01-01,30218,Cheque
PAY00227,INV00271,2025-03-13,7615,Card
PAY00228,INV00272,2024-09-04,6811,Bank Transfer
PAY00229,INV00273,2025-09-21,49808,Cheque
PAY00230,INV00275,2026-02-11,28778,Bank Transfer
PAY00231,INV00276,2025-08-14,9156,UPI
PAY00232,INV00277,2026-02-23,6903,Card
PAY00233,INV00278,2024-10-09,19064,Card
PAY00234,INV00279,2024-07-22,46974,Bank Transfer
PAY00235,INV00280,2024-02-22,43396,Card
PAY00236,INV00281,2024-05-15,28423,UPI
PAY00237,INV00282,2025-08-13,37506,Card
PAY00238,INV00284,2024-08-12,37140,UPI
PAY00239,INV00285,2025-03-25,26591,Bank Transfer
PAY00240,INV00286,2024-10-19,16686,Card
PAY00241,INV00287,2025-03-22,40740,Bank Transfer
PAY00242,INV00289,2024-06-26,39837,UPI
PAY00243,INV00290,2025-02-17,40413,Card
PAY00244,INV00291,2026-02-03,19274,Bank Transfer
PAY00245,INV00292,2024-09-03,32898,UPI
PAY00246,INV00293,2024-04-13,33959,Cheque
PAY00247,INV00294,2024-03-12,16179,Bank Transfer
PAY00248,INV00295,2025-04-16,44386,Cheque
PAY00249,INV00296,2024-03-16,46612,UPI
PAY00250,INV00297,2025-10-06,23312,Cheque
PAY00251,INV00298,2024-08-28,26973,Cheque
PAY00252,INV00299,2025-06-30,37110,UPI
PAY00253,INV00301,2025-09-29,45994,Card
PAY00254,INV00302,2024-11-07,30571,Bank Transfer
PAY00255,INV00303,2024-06-07,4927,Cheque
PAY00256,INV00304,2024-12-14,23640,UPI
PAY00257,INV00305,2024-11-21,26644,Bank Transfer
PAY00258,INV00306,2024-08-31,21069,UPI
PAY00259,INV00307,2025-12-25,33202,Cheque
PAY00260,INV00308,2024-10-23,15521,UPI
PAY00261,INV00309,2024-06-10,5643,Card
PAY00262,INV00312,2025-10-07,32665,UPI
PAY00263,INV00313,2024-11-05,8904,Card
PAY00264,INV00314,2025-08-29,33430,Cheque
PAY00265,INV00315,2024-08-10,34461,Bank Transfer
PAY00266,INV00316,2025-12-21,25366,UPI
PAY00267,INV00317,2024-10-19,36450,Card
PAY00268,INV00318,2025-11-10,24481,Cheque
PAY00269,INV00320,2025-05-22,37947,Cheque
PAY00270,INV00322,2025-04-21,13349,Card
PAY00271,INV00323,2024-02-29,28124,UPI
PAY00272,INV00324,2025-07-13,16947,Bank Transfer
PAY00273,INV00325,2024-06-21,11204,Card
PAY00274,INV00326,2025-11-01,29981,UPI
PAY00275,INV00327,2025-10-16,17389,Bank Transfer
PAY00276,INV00328,2026-03-02,13538,Cheque
PAY00277,INV00329,2024-12-13,21805,Card
PAY00278,INV00330,2024-05-25,40717,Cheque
PAY00279,INV00331,2024-09-22,22611,Card
PAY00280,INV00332,2024-04-13,11116,UPI
PAY00281,INV00333,2025-01-13,18029,UPI
PAY00282,INV00334,2025-05-23,49514,Card
PAY00283,INV00335,2024-08-28,8694,UPI
PAY00284,INV00336,2026-03-08,5747,Bank Transfer
PAY00285,INV00337,2024-04-25,36442,Bank Transfer
PAY00286,INV00338,2024-12-13,10676,UPI
PAY00287,INV00339,2024-11-12,19123,Cheque
PAY00288,INV00340,2024-07-23,2803,Card
PAY00289,INV00341,2025-09-14,36449,Cheque
PAY00290,INV00342,2025-11-03,41856,Card
PAY00291,INV00343,2026-01-02,35482,Card
PAY00292,INV00344,2024-09-25,29457,UPI
PAY00293,INV00345,2024-11-24,506,UPI
PAY00294,INV00346,2025-07-20,1045,Card
PAY00295,INV00347,2024-02-04,19696,UPI
PAY00296,INV00348,2025-05-01,29146,Card
PAY00297,INV00349,2025-03-13,17734,Cheque
PAY00298,INV00350,2025-12-24,45368,UPI
PAY00299,INV00351,2024-07-28,12454,Card
PAY00300,INV00352,2025-05-15,46406,UPI
PAY00301,INV00353,2024-06-20,35559,UPI
PAY00302,INV00354,2024-07-16,29232,Bank Transfer
PAY00303,INV00355,2024-02-29,14733,Card
PAY00304,INV00356,2025-06-22,2579,Bank Transfer
PAY00305,INV00357,2025-02-27,36098,UPI
PAY00306,INV00358,2025-02-28,6189,Card
PAY00307,INV00359,2024-02-20,30701,Cheque
PAY00308,INV00360,2025-03-31,8280,Bank Transfer
PAY00309,INV00361,2025-07-04,20083,Cheque
PAY00310,INV00362,2024-05-05,41978,Cheque
PAY00311,INV00363,2024-12-18,8341,Bank Transfer
PAY00312,INV00364,2024-05-16,45769,Cheque
PAY00313,INV00365,2024-05-24,10834,UPI
PAY00314,INV00366,2025-10-21,4417,Bank Transfer
PAY00315,INV00367,2025-06-15,16434,Card
PAY00316,INV00368,2024-08-03,45670,UPI
PAY00317,INV00369,2024-03-24,46809,Card
PAY00318,INV00370,2025-09-11,36126,UPI
PAY00319,INV00371,2025-11-08,11008,Card
PAY00320,INV00372,2024-12-30,24559,Card
PAY00321,INV00374,2025-11-18,21517,Card
PAY00322,INV00376,2025-11-03,21641,Bank Transfer
PAY00323,INV00377,2025-08-21,4869,Cheque
PAY00324,INV00378,2024-02-18,7515,Bank Transfer
PAY00325,INV00379,2025-12-22,43617,UPI
PAY00326,INV00380,2025-01-20,40211,Cheque
PAY00327,INV00382,2025-03-23,27052,Bank Transfer
PAY00328,INV00383,2025-10-22,35169,UPI
PAY00329,INV00384,2024-10-17,6864,Card
PAY00330,INV00385,2024-10-19,43549,Cheque
PAY00331,INV00386,2025-09-28,49396,UPI
PAY00332,INV00387,2025-06-14,44097,Cheque
PAY00333,INV00388,2024-10-08,26816,Cheque
PAY00334,INV00389,2025-10-21,14862,UPI
PAY00335,INV00390,2025-11-19,48070,Cheque
PAY00336,INV00391,2025-10-08,17151,Card
PAY00337,INV00392,2025-03-10,48099,Bank Transfer
PAY00338,INV00393,2024-06-26,930,Cheque
PAY00339,INV00395,2025-10-19,36959,Cheque
PAY00340,INV00396,2024-03-20,23808,UPI
PAY00341,INV00397,2025-09-17,15769,Bank Transfer
PAY00342,INV00398,2025-04-29,14749,Card
PAY00343,INV00399,2025-07-14,46561,UPI
PAY00344,INV00401,2025-01-09,28962,Cheque
PAY00345,INV00402,2026-02-02,1249,Card
PAY00346,INV00403,2025-02-07,3198,Cheque
PAY00347,INV00404,2025-09-04,14970,Card
PAY00348,INV00405,2025-06-09,38199,Card
PAY00349,INV00406,2025-03-19,9163,BANK TRANSFER
PAY00350,INV00407,2025-04-05,6075,Cheque
PAY00351,INV00408,2024-07-07,37154,Cheque
PAY00352,INV00409,2025-11-20,34857,UPI
PAY00353,INV00410,2025-05-22,16051,Card
PAY00354,INV00411,2025-03-13,12983,Bank Transfer
PAY00355,INV00412,2024-12-16,23419,Cheque
PAY00356,INV00413,2024-03-05,13586,Bank Transfer
PAY00357,INV00414,2024-03-24,33833,Bank Transfer
PAY00358,INV00415,2025-12-22,20496,UPI
PAY00359,INV00416,2025-07-30,13856,Card
PAY00360,INV00417,2024-08-11,46293,Bank Transfer
PAY00361,INV00418,2024-08-16,19113,UPI
PAY00362,INV00419,2025-07-27,1046,UPI
PAY00363,INV00420,2026-01-11,7570,Card
PAY00364,INV00421,2025-04-09,47010,Card
PAY00365,INV00422,2025-11-29,6268,Card
PAY00366,INV00423,2026-02-11,3105,UPI
PAY00367,INV00424,2025-07-02,49284,UPI
PAY00368,INV00425,2025-11-13,14175,Bank Transfer
PAY00369,INV00426,2024-10-29,2113,Cheque
PAY00370,INV00427,2025-04-26,9495,Cheque
PAY00371,INV00428,2024-11-16,10510,UPI
PAY00372,INV00429,2025-08-25,14050,Cheque
PAY00373,INV00430,2024-07-18,45623,Cheque
PAY00374,INV00431,2024-08-26,18402,Bank Transfer
PAY00375,INV00432,2024-12-21,48149,Card
PAY00376,INV00433,2025-05-01,29532,UPI
PAY00377,INV00434,2024-08-29,9120,UPI
PAY00378,INV00435,2025-10-11,15633,Bank Transfer
PAY00379,INV00436,2024-06-23,31734,Card
PAY00380,INV00438,2025-05-12,11233,Card
PAY00381,INV00439,2024-03-23,27569,Cheque
PAY00382,INV00440,2024-09-15,10789,Card
PAY00383,INV00441,2024-12-25,16673,Card
PAY00384,INV00442,2025-01-14,26096,Bank Transfer
PAY00385,INV00444,2024-11-04,35749,Card
PAY00386,INV00445,2025-11-11,12942,UPI
PAY00387,INV00446,2024-12-22,11410,Bank Transfer
PAY00388,INV00448,2024-07-03,33311,Cheque
PAY00389,INV00449,2025-04-22,30049,Cheque
PAY00390,INV00450,2025-05-31,16889,Cheque
PAY00391,INV00451,2024-06-25,7981,UPI
PAY00392,INV00452,2025-09-15,25671,Cheque
PAY00393,INV00455,2024-06-26,47164,UPI
PAY00394,INV00456,2025-05-04,41555,Cheque
PAY00395,INV00457,2025-11-24,1300,Bank Transfer
PAY00396,INV00458,2025-06-29,14713,Card
PAY00397,INV00459,2025-04-22,39901,UPI
PAY00398,INV00460,2025-12-08,14107,Bank Transfer
PAY00399,INV00462,2025-10-13,20058,Bank Transfer
PAY00400,INV00463,2025-04-20,11073,Cheque
PAY00401,INV00464,2025-06-07,38443,Bank Transfer
PAY00402,INV00466,2024-05-04,36575,Cheque
PAY00403,INV00467,2026-02-08,22075,Cheque
PAY00404,INV00468,2024-11-05,4313,Bank Transfer
PAY00405,INV00469,2026-03-09,46821,UPI
PAY00406,INV00470,2025-08-24,41344,Card
PAY00407,INV00472,2025-10-08,46937,Bank Transfer
PAY00408,INV00474,2024-10-15,27673,UPI
PAY00409,INV00475,2025-12-07,1240,UPI
PAY00410,INV00476,2024-04-24,20179,Bank Transfer
PAY00411,INV00477,2026-02-02,22871,Bank Transfer
PAY00412,INV00480,2024-07-17,10683,UPI
PAY00413,INV00482,2025-10-29,44946,Bank Transfer
PAY00414,INV00484,2025-01-08,10284,UPI
PAY00415,INV00485,2025-12-21,11376,Cheque
PAY00416,INV00487,2024-03-13,27623,UPI
PAY00417,INV00488,2024-11-22,34912,UPI
PAY00418,INV00489,2024-02-19,6568,Card
PAY00419,INV00490,2025-07-06,12965,UPI
PAY00420,INV00492,2025-08-08,9197,Card
PAY00421,INV00493,2026-02-26,8091,Bank Transfer
PAY00422,INV00494,2025-06-14,7256,UPI
PAY00423,INV00496,2024-08-23,19280,Card
PAY00424,INV00497,2024-06-01,10285,Bank Transfer
PAY00425,INV00498,2025-12-27,34189,UPI
PAY00426,INV00499,2025-01-22,7649,Cheque
PAY00427,INV00501,2025-05-22,9024,Bank Transfer
PAY00428,INV00502,2025-02-17,6143,Card
PAY00429,INV00504,2026-02-09,4254,Cheque
PAY00430,INV00505,2026-02-22,6874,Card
PAY00431,INV00507,2024-11-27,26195,UPI
PAY00432,INV00508,2025-01-22,32449,Bank Transfer
PAY00433,INV00509,2025-06-21,11693,Cheque
PAY00434,INV00512,2025-06-20,39201,Cheque
PAY00435,INV00513,2024-07-19,25653,Card
PAY00436,INV00514,2025-05-30,22926,Cheque
PAY00437,INV00515,2025-12-27,31552,Bank Transfer
PAY00438,INV00516,2025-10-25,21823,Cheque
PAY00439,INV00517,2025-04-08,39707,Card
PAY00440,INV00518,2025-07-28,43764,Cheque
PAY00441,INV00520,2024-08-04,35316,Card
PAY00442,INV00521,2024-11-04,21248,UPI
PAY00443,INV00522,2025-06-23,14981,Card
PAY00444,INV00523,2024-07-09,4590,Bank Transfer
PAY00445,INV00524,2026-03-04,24043,Bank Transfer
PAY00446,INV00525,2025-06-01,39176,Card
PAY00447,INV00526,2025-03-02,36224,Card
PAY00448,INV00528,2025-03-21,13623,Bank Transfer
PAY00449,INV00529,2025-12-05,9936,Card
PAY00450,INV00530,2024-06-24,9492,Card
PAY00451,INV00531,2026-03-07,28398,Card
PAY00452,INV00532,2025-05-27,23785,Bank Transfer
PAY00453,INV00533,2025-08-05,16015,Card
PAY00454,INV00534,2025-09-08,24549,Card
PAY00455,INV00535,2025-03-07,38528,Bank Transfer
PAY00456,INV00536,2025-08-20,30970,Bank Transfer
PAY00457,INV00537,2025-08-03,49107,Bank Transfer
PAY00458,INV00538,2025-12-07,38486,UPI
PAY00459,INV00539,2024-03-07,30255,UPI
PAY00460,INV00540,2025-03-06,19453,UPI
PAY00461,INV00541,2025-10-01,4525,Cheque
PAY00462,INV00543,2024-03-25,32269,Bank Transfer
PAY00463,INV00544,2024-11-22,9186,UPI
PAY00464,INV00545,2024-07-30,8878,Card
PAY00465,INV00546,2024-08-03,46425,Bank Transfer
PAY00466,INV00547,2024-05-07,15514,Card
PAY00467,INV00548,2025-03-18,43797,Cheque
PAY00468,INV00549,2025-10-24,23114,Bank Transfer
PAY00469,INV00550,2024-08-14,26632,Cheque
PAY00470,INV00551,2026-02-02,26063,Card
PAY00471,INV00552,2024-12-19,25535,Bank Transfer
PAY00472,INV00553,2025-10-02,13243,UPI
PAY00473,INV00554,2024-12-04,6940,Card
PAY00474,INV00555,2026-02-22,16346,Cheque
PAY00475,INV00556,2025-02-04,22318,Bank Transfer
PAY00476,INV00557,2024-03-26,27451,Card
PAY00477,INV00558,2024-10-08,19066,Bank Transfer
PAY00478,INV00559,2024-04-27,39437,Bank Transfer
PAY00479,INV00560,2024-06-23,40128,Cheque
PAY00480,INV00561,2024-07-16,12575,Bank Transfer
PAY00481,INV00562,2025-06-15,28482,UPI
PAY00482,INV00564,2025-03-14,4436,Cheque
PAY00483,INV00565,2024-04-17,13651,Card
PAY00484,INV00566,2024-08-31,28762,Bank Transfer
PAY00485,INV00567,2025-05-26,17473,Bank Transfer
PAY00486,INV00569,2026-01-10,388,Cheque
PAY00487,INV00570,2025-02-11,38159,Card
PAY00488,INV00572,2024-06-19,15301,Card
PAY00489,INV00573,2025-10-16,24022,Card
PAY00490,INV00574,2025-12-24,6441,Bank Transfer
PAY00491,INV00575,2025-06-14,42953,Bank Transfer
PAY00492,INV00576,2025-04-17,13017,Bank Transfer
PAY00493,INV00577,2026-02-09,32383,Card
PAY00494,INV00578,2024-08-29,2839,Cheque
PAY00495,INV00579,2025-03-15,35925,Card
PAY00496,INV00580,2024-01-29,22735,Card
PAY00497,INV00581,2024-11-10,44233,Cheque
PAY00498,INV00582,2025-09-04,5220,Card
PAY00499,INV00583,2024-03-29,41025,Cheque
PAY00500,INV00584,2024-08-25,2990,Card
PAY00501,INV00587,2024-04-27,28432,Card
PAY00502,INV00588,2024-07-17,38246,Cheque
PAY00503,INV00589,2024-04-18,11867,UPI
PAY00504,INV00590,2025-03-21,46132,Card
PAY00505,INV00591,2025-10-07,9240,Card
PAY00506,INV00592,2024-06-20,32413,Cheque
PAY00507,INV00593,2024-06-13,43213,Card
PAY00508,INV00594,2025-08-05,8816,UPI
PAY00509,INV00595,2025-05-03,10780,Cheque
PAY00510,INV00596,2025-08-08,6268,UPI
PAY00511,INV00597,2024-04-02,15942,Bank Transfer
PAY00512,INV00598,2025-04-10,33762,Cheque
PAY00513,INV00600,2025-05-27,12055,Bank Transfer
PAY00514,INV00601,2025-02-22,14235,Card
PAY00515,INV00602,2024-06-11,1596,Card
PAY00516,INV00603,2024-06-14,15920,UPI
PAY00517,INV00605,2024-06-12,15427,Cheque
PAY00518,INV00606,2024-08-26,31366,Card
PAY00519,INV00607,2024-10-26,30318,Cheque
PAY00520,INV00608,2024-09-18,10111,Bank Transfer
PAY00521,INV00609,2025-09-13,18889,Card
PAY00522,INV00611,2024-09-07,26248,Cheque
PAY00523,INV00613,2025-10-19,30827,Cheque
PAY00524,INV00614,2025-02-01,38475,Cheque
PAY00525,INV00615,2025-09-19,9033,Bank Transfer
PAY00526,INV00617,2024-06-09,32959,Bank Transfer
PAY00527,INV00618,2025-03-17,9197,Bank Transfer
PAY00528,INV00619,2025-07-29,20477,Bank Transfer
PAY00529,INV00621,2024-09-11,41578,Bank Transfer
PAY00530,INV00623,2025-07-24,19937,Cheque
PAY00531,INV00625,2024-04-24,44714,Bank Transfer
PAY00532,INV00626,2025-02-26,41075,Cheque
